,Name
0,CD_44836B
1,BD+371545
2,HD35722B
3,BD+054481
4,HD146362B
5,HD162004A
6,HD16246A
7,HD178911A
8,HD23630D
9,HD202751A
10,BD+000873
11,HD6582B
12,Sol
13,HD182572A
14,BD+320719
15,HD140538A
16,BD+110468
17,HD205626B
18,HD174080A
19,BD+043561
20,BD+384955
21,BD+014774
22,CD_44836A
23,HD6480B
24,HD182572B
25,BD+581199
26,HD51067A
27,HD162004B
28,HD21019A
29,HD8956B
30,HD9540A
31,BD+233912
32,GJ3404A
33,HD92855B
34,HD205626A
35,HD16246B
36,HD115404A
37,HD68978A
38,BD+442051
39,GJ3193B
40,BD+511696
41,HD111261A
42,HD196850B
43,HD147379A
